testcase_name,network_name,op_name,input_shapes,input_dtypes,input_formats,output_shapes,output_dtypes,output_formats,attributes,input_data_ranges,precision_tolerances,absolute_precision
matmul_512_1_384__384_256,llama3_70b_train,mat_mul_v3,"((512, 384), (384, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((512, 256),)","('bfloat16',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_1_256__16032_256,llama3_70b_train,mat_mul_v3,"((512, 256), (16032, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((512, 16032),)","('bfloat16',)","('ND',)","{'transpose_x1': False, 'transpose_x2': True, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_1_1792__1792_256,llama3_70b_train,mat_mul_v3,"((512, 1792), (1792, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((512, 256),)","('bfloat16',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_256__512_256,llama3_70b_train,mat_mul_v3,"((512, 256), (512, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((256, 256),)","('bfloat16',)","('ND',)","{'transpose_x1': True, 'transpose_x2': False, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_1_256__1792_256,llama3_70b_train,mat_mul_v3,"((512, 256), (1792, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((512, 1792),)","('bfloat16',)","('ND',)","{'transpose_x1': False, 'transpose_x2': True, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_1_256__384_256,llama3_70b_train,mat_mul_v3,"((512, 256), (384, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((512, 384),)","('bfloat16',)","('ND',)","{'transpose_x1': False, 'transpose_x2': True, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_1_16032__16032_256,llama3_70b_train,mat_mul_v3,"((512, 16032), (16032, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((512, 256),)","('bfloat16',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_384__512_256,llama3_70b_train,mat_mul_v3,"((512, 384), (512, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((384, 256),)","('bfloat16',)","('ND',)","{'transpose_x1': True, 'transpose_x2': False, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_1_256__256_256_false_true,llama3_70b_train,mat_mul_v3,"((512, 256), (256, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((512, 256),)","('bfloat16',)","('ND',)","{'transpose_x1': False, 'transpose_x2': True, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_1_896__256_896,llama3_70b_train,mat_mul_v3,"((512, 896), (256, 896), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((512, 256),)","('bfloat16',)","('ND',)","{'transpose_x1': False, 'transpose_x2': True, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_256__512_896,llama3_70b_train,mat_mul_v3,"((512, 256), (512, 896), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((256, 896),)","('bfloat16',)","('ND',)","{'transpose_x1': True, 'transpose_x2': False, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_1792__512_256,llama3_70b_train,mat_mul_v3,"((512, 1792), (512, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((1792, 256),)","('bfloat16',)","('ND',)","{'transpose_x1': True, 'transpose_x2': False, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_1_256__256_896,llama3_70b_train,mat_mul_v3,"((512, 256), (256, 896), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((512, 896),)","('bfloat16',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_16032__512_256,llama3_70b_train,mat_mul_v3,"((512, 16032), (512, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((16032, 256),)","('bfloat16',)","('ND',)","{'transpose_x1': True, 'transpose_x2': False, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
matmul_512_1_256__256_256_false_false,llama3_70b_train,mat_mul_v3,"((512, 256), (256, 256), None, None)","('bfloat16', 'bfloat16', None, None)","('ND', 'ND', None, None)","((512, 256),)","('bfloat16',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False, 'offset_x': 0, '#enable_pad': 1}","((-1, 1),)","((0.001, 0.001),)",1e-08
